vgs	d(Id(M1))
Step Information: Ln=180n  (Run: 1/5)
3.450000000000002e-001	9.583337e-005
3.600000000000002e-001	9.999997e-005
3.750000000000002e-001	1.041667e-004
3.900000000000002e-001	1.083334e-004
4.050000000000003e-001	1.124999e-004
4.200000000000003e-001	1.166666e-004
4.350000000000003e-001	1.208333e-004
4.500000000000003e-001	1.250000e-004
4.650000000000003e-001	1.291667e-004
4.800000000000003e-001	1.333333e-004
4.950000000000003e-001	1.375000e-004
5.100000000000003e-001	1.416667e-004
5.250000000000004e-001	1.458334e-004
5.400000000000004e-001	1.500001e-004
5.550000000000004e-001	1.541666e-004
5.700000000000004e-001	1.583333e-004
5.850000000000004e-001	1.625000e-004
6.000000000000004e-001	1.666667e-004
6.150000000000004e-001	1.708333e-004
6.300000000000005e-001	1.750000e-004
6.450000000000005e-001	1.791667e-004
