vgs	d(Id(M1))/Id(M1)
3.310000000000001e-001	2.554024e+001
3.320000000000001e-001	2.552033e+001
3.330000000000001e-001	2.550035e+001
3.340000000000001e-001	2.548024e+001
3.350000000000001e-001	2.546010e+001
3.360000000000001e-001	2.543995e+001
3.370000000000001e-001	2.541971e+001
3.380000000000001e-001	2.539941e+001
3.390000000000001e-001	2.537904e+001
3.400000000000001e-001	2.535860e+001
3.410000000000001e-001	2.533813e+001
3.420000000000001e-001	2.531760e+001
3.430000000000001e-001	2.529700e+001
3.440000000000001e-001	2.527641e+001
3.450000000000001e-001	2.525574e+001
3.460000000000001e-001	2.523504e+001
3.470000000000001e-001	2.521429e+001
3.480000000000001e-001	2.519347e+001
3.490000000000001e-001	2.517265e+001
3.500000000000001e-001	2.515179e+001
3.510000000000002e-001	2.513087e+001
3.520000000000002e-001	2.510996e+001
3.530000000000002e-001	2.508906e+001
3.540000000000002e-001	2.506803e+001
3.550000000000002e-001	2.504698e+001
3.560000000000002e-001	2.502599e+001
3.570000000000002e-001	2.500490e+001
3.580000000000002e-001	2.498383e+001
3.590000000000002e-001	2.496275e+001
3.600000000000002e-001	2.494162e+001
3.610000000000002e-001	2.492051e+001
3.620000000000002e-001	2.489936e+001
3.630000000000002e-001	2.487813e+001
3.640000000000002e-001	2.485698e+001
3.650000000000002e-001	2.483581e+001
3.660000000000002e-001	2.481463e+001
3.670000000000002e-001	2.479342e+001
3.680000000000002e-001	2.477217e+001
3.690000000000002e-001	2.475098e+001
3.700000000000002e-001	2.472974e+001
3.710000000000002e-001	2.470850e+001
3.720000000000002e-001	2.468726e+001
3.730000000000002e-001	2.466598e+001
3.740000000000002e-001	2.464475e+001
3.750000000000002e-001	2.462347e+001
3.760000000000002e-001	2.460221e+001
3.770000000000002e-001	2.458094e+001
3.780000000000002e-001	2.455966e+001
3.790000000000002e-001	2.453837e+001
3.800000000000002e-001	2.451706e+001
3.810000000000002e-001	2.449575e+001
3.820000000000002e-001	2.447444e+001
3.830000000000002e-001	2.445313e+001
3.840000000000002e-001	2.443175e+001
3.850000000000002e-001	2.441041e+001
3.860000000000002e-001	2.438908e+001
3.870000000000002e-001	2.436764e+001
3.880000000000002e-001	2.434621e+001
3.890000000000002e-001	2.432482e+001
3.900000000000002e-001	2.430332e+001
3.910000000000002e-001	2.428183e+001
3.920000000000002e-001	2.426034e+001
3.930000000000002e-001	2.423879e+001
3.940000000000002e-001	2.421719e+001
3.950000000000002e-001	2.419552e+001
3.960000000000002e-001	2.417385e+001
3.970000000000002e-001	2.415214e+001
3.980000000000002e-001	2.413039e+001
3.990000000000002e-001	2.410854e+001
4.000000000000002e-001	2.408658e+001
4.010000000000002e-001	2.406461e+001
4.020000000000002e-001	2.404259e+001
4.030000000000002e-001	2.402047e+001
4.040000000000002e-001	2.399828e+001
4.050000000000002e-001	2.397597e+001
4.060000000000002e-001	2.395357e+001
4.070000000000002e-001	2.393107e+001
4.080000000000002e-001	2.390847e+001
4.090000000000002e-001	2.388577e+001
4.100000000000002e-001	2.386290e+001
4.110000000000002e-001	2.383993e+001
4.120000000000002e-001	2.381683e+001
4.130000000000002e-001	2.379359e+001
4.140000000000002e-001	2.377014e+001
4.150000000000002e-001	2.374658e+001
4.160000000000002e-001	2.372288e+001
4.170000000000002e-001	2.369896e+001
4.180000000000002e-001	2.367489e+001
4.190000000000002e-001	2.365061e+001
4.200000000000002e-001	2.362612e+001
4.210000000000002e-001	2.360144e+001
4.220000000000002e-001	2.357649e+001
4.230000000000002e-001	2.355133e+001
4.240000000000002e-001	2.352600e+001
4.250000000000002e-001	2.350038e+001
4.260000000000002e-001	2.347448e+001
4.270000000000002e-001	2.344833e+001
4.280000000000002e-001	2.342189e+001
4.290000000000002e-001	2.339517e+001
4.300000000000002e-001	2.336815e+001
4.310000000000002e-001	2.334084e+001
4.320000000000002e-001	2.331325e+001
4.330000000000002e-001	2.328528e+001
4.340000000000002e-001	2.325699e+001
4.350000000000002e-001	2.322836e+001
4.360000000000002e-001	2.319936e+001
4.370000000000002e-001	2.317004e+001
4.380000000000002e-001	2.314029e+001
4.390000000000002e-001	2.311017e+001
4.400000000000002e-001	2.307966e+001
4.410000000000002e-001	2.304878e+001
4.420000000000002e-001	2.301743e+001
4.430000000000002e-001	2.298569e+001
4.440000000000002e-001	2.295352e+001
4.450000000000002e-001	2.292088e+001
4.460000000000002e-001	2.288784e+001
4.470000000000002e-001	2.285426e+001
4.480000000000002e-001	2.282022e+001
4.490000000000002e-001	2.278577e+001
4.500000000000002e-001	2.275083e+001
4.510000000000002e-001	2.271534e+001
4.520000000000002e-001	2.267935e+001
4.530000000000002e-001	2.264288e+001
4.540000000000002e-001	2.260587e+001
4.550000000000002e-001	2.256832e+001
4.560000000000002e-001	2.253027e+001
4.570000000000002e-001	2.249165e+001
4.580000000000002e-001	2.245249e+001
4.590000000000002e-001	2.241276e+001
4.600000000000002e-001	2.237249e+001
4.610000000000002e-001	2.233167e+001
4.620000000000002e-001	2.229024e+001
4.630000000000002e-001	2.224821e+001
4.640000000000003e-001	2.220564e+001
4.650000000000003e-001	2.216250e+001
4.660000000000003e-001	2.211871e+001
4.670000000000003e-001	2.207437e+001
4.680000000000003e-001	2.202936e+001
