vgs	d(Id(M1))
Step Information: Ln=180n  (Run: 1/5)
8.080000000000005e-001	1.496296e-004
8.160000000000005e-001	1.511112e-004
8.240000000000005e-001	1.525927e-004
8.320000000000005e-001	1.540739e-004
8.400000000000005e-001	1.555554e-004
8.480000000000005e-001	1.570370e-004
8.560000000000005e-001	1.585186e-004
8.640000000000006e-001	1.600001e-004
8.720000000000006e-001	1.614812e-004
8.800000000000006e-001	1.629628e-004
8.880000000000006e-001	1.644444e-004
8.960000000000006e-001	1.658336e-004
9.040000000000006e-001	1.665744e-004
9.120000000000006e-001	1.666667e-004
9.200000000000006e-001	1.666667e-004
9.280000000000006e-001	1.666663e-004
9.360000000000006e-001	1.666663e-004
9.440000000000006e-001	1.666667e-004
9.520000000000006e-001	1.666667e-004
9.600000000000006e-001	1.666667e-004
9.680000000000006e-001	1.666667e-004
9.760000000000006e-001	1.666667e-004
9.840000000000007e-001	1.666667e-004
9.920000000000007e-001	1.666667e-004
1.000000000000000e+000	1.666667e-004
Step Information: Ln=720n  (Run: 4/5)
2.000000000000000e-001	2.833332e-005
2.080000000000000e-001	2.888889e-005
2.160000000000000e-001	3.000001e-005
2.240000000000000e-001	3.111110e-005
2.320000000000000e-001	3.222222e-005
2.400000000000001e-001	3.333335e-005
2.480000000000001e-001	3.444444e-005
2.560000000000001e-001	3.555556e-005
2.640000000000001e-001	3.666668e-005
2.720000000000001e-001	3.777777e-005
2.800000000000001e-001	3.888889e-005
2.880000000000001e-001	4.000000e-005
2.960000000000001e-001	4.111112e-005
3.040000000000001e-001	4.222221e-005
3.120000000000001e-001	4.333333e-005
3.200000000000001e-001	4.444445e-005
3.280000000000001e-001	4.555554e-005
3.360000000000001e-001	4.666666e-005
3.440000000000001e-001	4.777780e-005
3.520000000000002e-001	4.888892e-005
3.600000000000002e-001	4.999998e-005
3.680000000000002e-001	5.111110e-005
3.760000000000002e-001	5.222222e-005
3.840000000000002e-001	5.333334e-005
3.920000000000002e-001	5.444446e-005
4.000000000000002e-001	5.555552e-005
4.080000000000002e-001	5.666664e-005
